,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b2206_napA_2302753_-1,3.21665668742056,3.61643737247865,3.51332032131567,3.97697329349541,3.25755456009755
b2207_napD_2303013_-1,5.50482124122909,5.22513660812922,5.60275094577356,5.29791457459145,5.2411386566593
b2208_napF_2303497_-1,5.89035929801905,5.78750558036421,5.52882600493416,5.93922434298297,5.9783388628933
b2209_eco_2303905_1,7.21604902139275,7.44533453302775,7.03621009174484,7.31307240271058,7.08752837594388
b2210_mqo_2306754_-1,7.18852012097717,7.00866723834026,7.24866259539438,7.28556985005537,6.9207548439702
b2211_yojI_2308615_-1,3.63080506441796,4.40838878126378,3.6517349079095,4.42399376988908,4.35189581355669
b2212_alkB_2309341_-1,9.13598779425457,8.79967202493433,9.28305193552612,8.72687253189464,8.75380991033651
b2213_ada_2310405_-1,4.19287897089203,4.58519916926584,4.28297705551597,4.31421159254635,4.05208478796849
b2214_apbE_2311534_-1,4.587930293163,4.51005756752953,5.04480204337676,4.34499014433264,4.8198021041866
b2215_ompC_2312749_-1,7.01287978421625,7.4128868923218,6.87125789330786,7.30657157211476,7.45088715323854
b2216_rcsD_2313488_1,4.99628718228127,5.02866908131416,4.74830384126304,5.14889472286998,4.97432812019671
b2217_rcsB_2316177_1,6.03648515490568,6.01701113312604,5.91220088297599,5.83466716531542,5.54726436827233
b2218_rcsC_2319876_-1,4.24725981860141,4.67550013754641,4.49399185112257,4.76477675803784,4.59046603094141
b2219_atoS_2320043_1,5.68109977762847,5.64151446576312,5.31398493868112,5.48456571366474,5.35243894217996
b2220_atoC_2321866_1,3.95219942279697,3.9724957323551,3.91872595434199,3.75048225596308,3.92137397001551
b2221_atoD_2323447_1,8.55141491358122,8.75562233998971,8.86212271656399,8.73173316330949,9.04729782108033
b2222_atoA_2324109_1,9.84138514147756,10.0687826179048,9.96540231073206,10.0995671515686,10.1929539839535
b2223_atoE_2324756_1,4.12479491262574,4.55832559069391,3.85646619301214,4.36515033245479,4.7615551446871
b2224_atoB_2326109_1,7.36119664304638,7.96217639803874,7.57485559591393,7.92454521714541,7.8586978446369
b2225_yfaP_2328143_-1,7.40610762689775,7.53076057128789,7.4768643738701,7.48413197169746,7.7622706206541
b2226_yfaQ_2329797_-1,6.65887788042271,6.51490036678111,6.76341945739027,6.84345015490309,6.85860226261251
b4500_yfaS_2334402_-1,8.37825548804652,8.28413726180012,8.51998996027773,8.53444483087716,8.45095055269731
b2230_yfaA_2336644_-1,7.08183612245818,7.14020906438489,7.43167396595563,7.57672816105069,7.65436794431059
b2231_gyrA_2339420_-1,6.99232964516431,7.3299141722655,7.15994019720449,7.23716740969078,7.00923452306124
b2232_ubiG_2339567_1,8.18492820574809,8.18331027498068,8.55422475178369,8.36772403040063,8.15622802037062
b2233_yfaL_2344169_-1,6.66288446188289,6.94655141745695,6.75149458549205,6.96070528514736,7.04106372637147
b2234_nrdA_2344865_1,6.99868399912537,6.87484957391889,6.28738044105608,6.55399363564793,6.23838442028902
b2235_nrdB_2347384_1,5.23027948174819,5.14160472168937,5.03920756989818,4.98919973815579,5.00334203639279
b2237_inaA_2349472_-1,3.95219942279697,4.16291992010165,4.40978636779316,4.27212467687263,4.32915849152905
b2238_yfaH_2349651_1,8.78991357578079,8.84901487120444,8.77434740227533,8.89706121033131,9.00533555779325
b2239_glpQ_2351011_-1,8.12664861074801,8.11579672208845,8.35359903949052,8.37271147460549,8.09941529910264
b2240_glpT_2352374_-1,7.63952742665662,7.92123680959382,7.75970016780922,8.16488362808855,7.91989563028523
b2241_glpA_2352647_1,4.22575282801005,4.37797419282434,4.14393791864417,4.22877299504038,4.47092286270514
b2242_glpB_2354265_1,5.78401259681977,5.46828266816627,6.0493206884741,5.6943144822194,5.74058427881424
b2243_glpC_2355521_1,7.05159500463063,6.90315859532194,7.1101138517618,7.04747379816248,6.47426587841708
b2244_yfaD_2356904_1,2.98025224214548,2.99014083867225,3.03997416250723,3.68783199166458,3.13181277487667
b4543_ypaA_2357804_1,8.43558479300778,8.18879634750717,8.72641546975367,7.9787059989496,8.00304960427989
b2245_rhmA_2358845_-1,7.96649646112382,8.10539156014472,7.53068437418028,8.21086418450108,8.12686587089352
