"","RNA_input"
"b0608_ybdR_642088_1",2639
"b0610_rnk_643967_-1",485
"b0611_rna_645003_-1",1179
"b0612_citT_646580_-1",2028
"b0613_citG_647509_-1",936
"b0614_citX_648035_-1",2992
"b0615_citF_649571_-1",490
"b0616_citE_650490_-1",840
"b0617_citD_650783_-1",830
"b0618_citC_651856_-1",4172
"b0619_citA_652235_1",5787
"b0620_citB_653862_1",236
"b0621_dcuC_655968_-1",1277
"b0622_pagP_656557_1",4742
"b0623_cspE_657292_1",1368
"b0624_flc_657938_-1",720
"b4581_ybeM_658031_1;b4581_ybeM_658225_1",2883
"b0627_tatE_658947_1",178
"b0628_lipA_660216_-1",296
"b0629_ybeF_661378_-1",329
"b0630_lipB_662278_-1",349
"b0631_ybeD_662642_-1",1085
"b0632_dacA_663963_-1",1361
"b0633_rlpA_665190_-1",1301
"b0634_mrdB_666313_-1",1108
"b0635_mrdA_668217_-1",7133
"b0636_rlmH_668715_-1",1978
"b0637_rsfS_669036_-1",818
"b0638_cobC_669907_-1",326
"b0639_nadD_670572_-1",564
"b0640_holA_671605_-1",733
"b0641_lptE_672186_-1",474
"b0642_leuS_674783_-1",863
"b0643_ybeL_675018_1",116
"b0644_ybeQ_676547_-1",811
"b0645_ybeR_676711_1",1256
"b0646_djlB_677415_1",497
"b0647_ybeT_679406_-1",3398
"b0648_ybeU_679508_1",1602
"b0649_djlC_680212_1",373
"b0650_hscC_683393_-1",1402
"b0651_rihA_684412_-1",380
"b0652_gltL_685255_-1",587
"b0653_gltK_685929_-1",409
"b0654_gltJ_686669_-1",5172
"b0655_gltI_687747_-1",376
"b0656_insH1_689013_-1",0
"b0657_lnt_690881_-1",7464
"b0658_ybeX_691784_-1",2054
"b0659_ybeY_692341_-1",2743
"b0660_ybeZ_693378_-1",372
"b0661_miaB_694955_-1",740
"b0662_ubiF_695101_1",1165
"b0674_asnB_699177_-1",959
"b0675_umpH_700326_-1",778
"b0676_nagC_701594_-1",3541
"b0677_nagA_702751_-1",208
"b0678_nagB_703611_-1",517
"b0679_nagE_703944_1",2175
"b0680_glnS_706093_1",2613
"b0681_chiP_708334_1",1869
"b0682_chiQ_709790_1",680
"b0683_fur_710646_-1",592
"b4637_uof_710725_-1",431
"b0684_fldA_711465_-1",357
"b0685_ybfE_711898_-1",674
"b0686_ybfF_712802_-1",1772
"b0687_seqA_712987_1",1318
"b0688_pgm_713558_1",225
"b0689_ybfP_715412_1",296
"b0691_ybfG_716597_-1",1043
"b4636_ybfI_716870_-1",1068
"b0692_potE_718265_-1",1457
"b0693_speF_720460_-1",1221
"b4590_ybfK_720583_1",2107
"b0694_kdpE_721733_-1",653
"b0695_kdpD_724414_-1",174
"b0696_kdpC_724979_-1",1016
"b0697_kdpB_727036_-1",420
"b0698_kdpA_728732_-1",1864
"b4513_kdpF_728821_-1",1736
"b0699_ybfA_729134_1",973
"b0700_rhsC_729583_1",251
"b0702_ybfB_733776_1",10535
"b0703_rhsO_734133_1",783
"b0704_ybfC_735650_1",4974
"b4514_ybfQ_736445_1",1741
"b0705_ybfL_736825_1",2453
"b0706_ybfD_738092_1",4131
"b0707_ybgA_739001_1",855
"b0708_phr_739507_1",1317
"b0709_dtpD_742556_-1",481
"b0710_ybgI_742827_1",278
"b0711_ybgJ_743593_1",496
"b0712_ybgK_744243_1",274
"b0713_ybgL_745165_1",516
"b0714_nei_745935_1",2316
"b0715_abrB_747769_-1",2291
"b0716_ybgO_748982_-1",817
"b0717_ybgP_749707_-1",682
"b0718_ybgQ_752169_-1",996
"b0719_ybgD_752795_-1",712
"b0720_gltA_754468_-1",763
"b0721_sdhC_755177_1",2284
"b0722_sdhD_755560_1",1442
"b0723_sdhA_755907_1",1063
"b0724_sdhB_757689_1",778
"b0726_sucA_758706_1",9996
"b0727_sucB_761522_1",2024
"b0728_sucC_763014_1",1146
"b0729_sucD_764180_1",383
"b0730_mngR_765875_-1",107
"b0731_mngA_765984_1",1507
"b0732_mngB_767978_1",1381
"b0733_cydA_771458_1",2796
"b0734_cydB_773042_1",1249
"b4515_cydX_774196_1",626
"b0735_ybgE_774309_1",2142
"b0736_ybgC_774752_1",468
"b0737_tolQ_775153_1",245
"b0738_tolR_775849_1",820
"b0739_tolA_776342_1",1106
"b0740_tolB_777740_1",996
"b0741_pal_779067_1",755
"b0742_ybgF_779598_1",3836
"b0750_nadA_782085_1",1395
"b0751_pnuC_783166_1",961
"b0752_zitB_784823_-1",1543
"b0753_ybgS_785317_-1",482
"b0754_aroG_785633_1",3621
"b0755_gpmA_787595_-1",2881
"b0756_galM_788837_-1",594
"b0757_galK_789979_-1",462
"b0758_galT_791029_-1",327
"b0759_galE_792055_-1",576
"b0760_modF_793788_-1",452
"b0761_modE_794644_-1",533
"b0762_acrZ_794773_1",7204
"b0763_modA_795089_1",1706
"b0764_modB_795862_1",4202
"b0765_modC_796554_1",1762
"b0766_ybhA_798431_-1",1622
"b0767_pgl_798586_1",1147
"b0768_ybhD_800575_-1",3403
"b0769_ybhH_800759_1",1834
"b0770_ybhI_801887_1",9951
