"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2530_iscS_2661531_-1",7.75295333451533,8.53920487948684,7.8546632683002,8.6387212485451,8.46530512942301
"b2531_iscR_2662131_-1",8.15214471708237,8.70446147227224,8.63068344966151,9.18078785355078,8.99473631204028
"b2532_trmJ_2663323_-1",4.8191354231247,5.04698572484125,4.87495422820998,5.08263643033787,4.83532108743589
"b2533_suhB_2663442_1",7.34701144515716,7.23439198866203,7.27938598744935,7.39295108698091,7.45936840807832
"b2534_yfhR_2664390_1",2.26136344109499,2.33978546171672,2.47219322380256,2.00697940894203,2.20549106627943
"b2535_csiE_2665435_1",6.80382106387571,6.65352993342585,6.61152478836402,6.73058753670266,6.76358478361272
"b2536_hcaT_2667846_-1",6.85718352493897,6.06439550112639,6.80549624584074,6.05149773916511,6.05584905615922
"b2537_hcaR_2668896_-1",6.41995329697988,6.46399561386711,6.71704054563205,6.82816412860582,6.95201144861465
"b4706_iroK_2668071_-1",5.26052787280134,4.83401641347243,5.0961102668073,5.20505781337575,5.12643324770645
"b2538_hcaE_2669032_1",5.63924407664532,5.44166284003442,5.2640101802194,5.09475355126731,5.27652095189586
"b2539_hcaF_2670390_1",6.21447168033704,6.15679708792708,6.44145242547043,6.67113773202206,6.48902242977534
"b2540_hcaC_2670908_1",8.35496949014469,8.34273812855756,8.54483123606387,8.28199561758047,8.27181344266467
"b2541_hcaB_2671225_1",4.01446092775383,4.06018633839794,4.7433355166775,4.80138919345817,4.80269879116831
"b2542_hcaD_2672047_1",6.53794453987291,6.73522134926262,6.97791688380168,6.99260997877089,6.85591209554728
"b2543_yphA_2673346_1",9.51317911626725,9.69163262630411,9.64841338786977,9.71549094977808,9.84935593445059
"b2544_yphB_2674688_-1",8.42084181629651,8.15778231964967,8.51285192974762,8.03949662221857,8.30930907336424
"b2545_yphC_2675761_-1",8.0007081262857,7.59135649563609,7.9420615970491,7.54861397174141,7.82283806980191
"b2546_yphD_2676825_-1",5.75248060262813,5.33099765894987,5.6084552770661,5.37366165787352,5.1782168918938
"b2547_yphE_2678361_-1",3.12493801463879,2.86304239964481,2.87574825695293,3.07885547829021,3.02199342902609
"b2548_yphF_2679367_-1",4.46303701053655,4.36914384639267,4.04880700408395,4.13712057373426,4.14544856384315
"b2549_yphG_2682745_-1",4.91619930837508,5.18503964203277,4.88123022447847,5.30752424464446,5.0727214752695
"b2550_yphH_2682863_1",2.8993140876894,2.81847413547714,2.25740532025424,3.00373263648506,2.96416727773779
"b2551_glyA_2685507_-1",7.64178427243877,7.82403094805272,7.7624771814232,8.31926435882824,8.36413568658386
"b2552_hmp_2685835_1",6.73136138031114,6.59197397406684,6.69226885622918,6.3329984011666,6.34918585149118
"b2553_glnB_2687408_-1",5.82926397922219,6.42365050009254,6.31502848848015,6.63840018401403,6.63976801607053
"b2554_glrR_2688803_-1",2.56488654263195,3.15952982126306,3.08596451177814,3.12684859881102,3.39457818969227
"b2555_yfhG_2689506_-1",5.06876185310768,5.55126599130236,5.54266905576719,5.89400181590728,5.87937943074815
"b2556_glrK_2691098_-1",1.76177143598453,1.61842090842376,0.40848587372142,2.24303550718553,1.43159890457959
"b2557_purL_2695543_-1",8.95894071949063,8.68170340472569,9.0485845871045,8.62468727318573,8.69707407604906
"b2558_mltF_2695801_1",4.58614441833476,4.69916698354215,4.78409704088872,4.91508716938699,4.91378854568565
"b2559_tadA_2697857_-1",4.37796198870695,3.94051284734634,4.49589295829783,4.1487904296328,4.38464565403167
"b2560_pgpC_2698550_-1",6.51155969649018,6.55848940431491,6.67250253484987,6.77267801369327,6.86581525379998
"b2561_yfhH_2698759_1",6.21991411990295,6.23093795434611,6.28694027046737,6.42944032449529,6.32641666447805
"b2562_yfhL_2699663_1",2.8993140876894,3.00900707014583,3.39752931735612,3.07885547829021,2.80856836085525
"b4687_shoB_2700197_-1",2.78646996546456,3.02870393072822,2.65910849232506,2.92448214378518,2.96416727773779
"b2563_acpS_2700998_-1",5.25523678594678,3.02870393072822,3.01923883632554,2.48319609150656,3.4377084954493
"b2564_pdxJ_2701729_-1",8.15143286054018,8.02311282932527,7.94880011205538,7.95228482519836,8.10624890817206
"b2565_recO_2702469_-1",3.05357999485569,2.48943377959311,3.26940954718919,1.90056306058062,2.39248277259765
"b2566_era_2703386_-1",4.33847837777935,4.17068865925197,4.68713103177399,4.31337657698142,4.26999876475342
"b2568_lepB_2705309_-1",8.00228815308248,7.79700735178893,8.0615525731717,7.71582916567467,8.03518708993556
"b2569_lepA_2707124_-1",5.16218585353736,4.80003523863079,4.37657670161359,4.68598988709845,4.94401829879438
"b2570_rseC_2707801_-1",3.62903832983542,3.74004215928954,3.32571667595985,3.83880300624721,3.98023848700097
"b2571_rseB_2708754_-1",8.454704443114,8.54349001437799,8.78257593201944,8.59726807252468,8.4763359323455
"b2572_rseA_2709404_-1",8.22837947476608,8.50928538336798,8.44456736172931,8.86339323314418,8.83856060106893
"b2573_rpoE_2710012_-1",6.90864241333899,6.76635198786596,7.21996627989112,6.94822225702539,6.93329686651086
"b2574_nadB_2710420_1",9.16554534618804,9.47363356156717,9.20342973770049,9.35807027366578,9.36172172387845
"b2575_trmN_2712764_-1",3.02898750295555,3.15952982126306,3.41493752403949,3.12684859881102,3.30424528432426
"b2576_srmB_2712896_1",6.87281482650985,7.07775725162356,7.04932546778943,7.34303132344,7.38969209584679
"b2577_yfiE_2715320_-1",7.88557112058703,7.88540959167375,7.83620679572616,7.79501179934632,7.89424843448042
"b2578_eamB_2715423_1",8.50461071894027,8.00768771209124,8.31553473159018,8.01818292625747,8.18113040991421
"b2579_grcA_2716449_-1",5.66740175238229,5.84031070632753,5.91411993991554,5.8009216387188,6.02789604124292
"b2580_ung_2716754_1",5.75623112349461,5.82349412644088,5.88630811527863,6.05149773916511,6.00298482295847
"b2581_yfiF_2718528_-1",7.68964038379614,7.69206466718691,7.87838745682354,7.85768330488144,7.87965995761518
"b2582_trxC_2718735_1",5.39169641393564,5.53414165337988,5.49844510801919,5.84103692359745,5.46030082989535
"b2584_pka_2719953_1",3.82746965057806,3.15952982126306,3.23061227066637,3.15025943290915,2.84105968408108
"b2585_pssA_2722727_1",3.21490307730662,3.61532141938408,3.01923883632554,3.58761125394731,3.65430934255233
"b2586_yfiM_2724128_1",5.34264803230365,5.19814536954396,5.1175334763736,5.28654886504626,5.2404373145362
"b2587_kgtP_2725746_-1",8.178938242939,8.10946527811527,8.53739943686176,8.26801865546808,8.19769149909301
"b2592_clpB_2734173_-1",10.6672611498335,10.4961650470271,10.6876176857951,10.3756927818277,10.2960557533684
"b2593_yfiH_2735034_-1",7.96469221000099,7.84223336967447,8.23757648533522,7.91005147462394,8.15471554556466
"b2594_rluD_2736011_-1",3.54480924096465,3.8983091330187,2.94927676006858,3.55289872703741,3.59838707011874
"b2595_bamD_2736146_1",7.87353544941236,8.01202339523623,7.69727919075801,7.85679419384624,7.86985170189947
"b2597_raiA_2737154_1",8.47191260097257,9.04178775832552,8.4873653362051,8.97001984072404,8.94515592969145
"b2598_pheL_2737599_1",9.25673283163528,9.26423444060466,9.51022842362686,9.33750350866113,9.19615995924043
"b2599_pheA_2737745_1",4.45382821689146,4.57069770244764,4.55204370834591,4.51619148215587,4.38464565403167
"b2600_tyrA_2740069_-1",7.32192407401444,7.27618956442551,7.05904646343714,7.38557235207741,7.29904290162612
"b2601_aroF_2741150_-1",7.46170737706887,7.70971256997898,7.18994489254827,7.63516147110469,7.60364564959954
"b2602_yfiL_2741360_1",8.62076673706901,8.46026618335472,8.81449090592194,8.44527245862239,8.49048702416772
"b2603_yfiR_2741875_1",3.17062169912802,3.17728715297654,3.59372654781421,3.15025943290915,3.69042177965612
"b2604_yfiN_2742383_1",5.24992622256884,4.87811434136509,5.13864321255992,4.852237962563,4.84336269174131
"b2605_yfiB_2743625_1",6.7689745635132,6.82103081033543,6.78053191424508,6.97140851800311,6.88541993809843
"b2606_rplS_2744530_-1",7.69160034726085,7.70665883570355,7.46736421956007,7.41727782244146,7.80338898767122
